날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
(년-월-일),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm)
2022-02-01,50,29,0.040,0.008,0.4,0.004
2022-02-02,35,18,0.034,0.012,0.3,0.005
2022-02-03,34,17,0.028,0.019,0.4,0.005
2022-02-04,35,16,0.029,0.016,0.3,0.005
2022-02-05,37,11,0.037,0.009,0.2,0.005
2022-02-06,33,12,0.031,0.013,0.3,0.005
2022-02-07,39,16,0.022,0.026,0.4,0.005
2022-02-08,43,21,0.018,0.028,0.4,0.005
2022-02-09,60,34,0.018,0.033,0.5,0.004
2022-02-10,67,38,0.031,0.022,0.6,0.005
2022-02-11,100,61,0.024,0.040,0.7,0.005
2022-02-12,124,80,0.022,0.038,0.7,0.005
2022-02-13,106,65,0.020,0.030,0.7,0.004
2022-02-14,88,55,0.026,0.026,0.6,0.004
2022-02-15,38,19,0.037,0.010,0.3,0.004
2022-02-16,29,16,0.037,0.009,0.3,0.004
2022-02-17,41,20,0.027,0.017,0.4,0.004
2022-02-18,57,33,0.016,0.029,0.4,0.004
2022-02-19,55,33,0.028,0.018,0.4,0.005
2022-02-20,36,13,0.040,0.007,0.3,0.004
2022-02-21,35,16,0.030,0.017,0.3,0.004
2022-02-22,39,19,0.036,0.013,0.3,0.005
2022-02-23,36,15,0.032,0.015,0.4,0.005
2022-02-24,39,18,0.029,0.024,0.4,0.005
2022-02-25,80,46,0.036,0.024,0.4,0.004
2022-02-26,82,49,0.048,0.016,0.4,0.004
2022-02-27,53,18,0.042,0.013,0.3,0.004
2022-02-28,53,21,0.027,0.027,0.3,0.004
,,,,,,
